seed,model,task,method,finetuning_steps,realignment_steps,distinct_realignment_samples,repeated_realignment_samples,train_loss,realignment_loss,task_loss,eval_ar_accuracy,eval_bg_accuracy,eval_de_accuracy,eval_el_accuracy,eval_en_accuracy,eval_es_accuracy,eval_fr_accuracy,eval_hi_accuracy,eval_ru_accuracy,eval_sw_accuracy,eval_th_accuracy,eval_tr_accuracy,eval_ur_accuracy,eval_vi_accuracy,eval_zh_accuracy,eval_avg_accuracy,eval_same_accuracy,final_eval_ar_accuracy,final_eval_bg_accuracy,final_eval_de_accuracy,final_eval_el_accuracy,final_eval_en_accuracy,final_eval_es_accuracy,final_eval_fr_accuracy,final_eval_hi_accuracy,final_eval_ru_accuracy,final_eval_sw_accuracy,final_eval_th_accuracy,final_eval_tr_accuracy,final_eval_ur_accuracy,final_eval_vi_accuracy,final_eval_zh_accuracy,final_eval_avg_accuracy,final_eval_same_accuracy
31,distilbert-base-multilingual-cased,xnli,before_fastalign,24544,24544,392704,392704,0.5658909678459167,0,0.5658909678459167,0.6183632734530938,0.6562874251497006,0.6724550898203593,0.6403193612774452,,0.7075848303393214,0.6956087824351297,0.5662674650698603,0.6445109780439122,,0.5,0.6207584830339321,,0.6574850299401198,0.6620758483033932,0.6368097139055223,0.7738522954091817,0.6183632734530938,0.6562874251497006,0.6724550898203593,0.6403193612774452,,0.7075848303393214,0.6956087824351297,0.5662674650698603,0.6445109780439122,,0.5,0.6207584830339321,,0.6574850299401198,0.6620758483033932,0.6368097139055223,0.7738522954091817
42,distilbert-base-multilingual-cased,xnli,before_fastalign,24544,24544,392704,392704,0.17688052356243134,0,0.17688052356243134,0.6087824351297405,0.6500998003992016,0.6698602794411178,0.6197604790419161,,0.6964071856287425,0.6920159680638722,0.5602794411177645,0.6415169660678642,,0.47345309381237527,0.6097804391217565,,0.6564870259481038,0.6483033932135729,0.627228875582169,0.7784431137724551,0.6087824351297405,0.6500998003992016,0.6698602794411178,0.6197604790419161,,0.6964071856287425,0.6920159680638722,0.5602794411177645,0.6415169660678642,,0.47345309381237527,0.6097804391217565,,0.6564870259481038,0.6483033932135729,0.627228875582169,0.7784431137724551
66,distilbert-base-multilingual-cased,xnli,before_fastalign,24544,24544,392704,392704,0.7056114673614502,0,0.7056114673614502,0.6091816367265469,0.6506986027944112,0.6612774451097805,0.6201596806387225,,0.692814371257485,0.6908183632734531,0.5574850299401197,0.6455089820359281,,0.4656686626746507,0.612375249500998,,0.6574850299401198,0.6487025948103793,0.6260146373918829,0.7766467065868263,0.6091816367265469,0.6506986027944112,0.6612774451097805,0.6201596806387225,,0.692814371257485,0.6908183632734531,0.5574850299401197,0.6455089820359281,,0.4656686626746507,0.612375249500998,,0.6574850299401198,0.6487025948103793,0.6260146373918829,0.7766467065868263
23,distilbert-base-multilingual-cased,xnli,before_fastalign,24544,24544,392704,392704,0.5484437942504883,0,0.5484437942504883,0.6205588822355289,0.6570858283433134,0.6692614770459082,0.6329341317365269,,0.6980039920159681,0.6966067864271457,0.56187624750499,0.6522954091816368,,0.44590818363273454,0.6109780439121757,,0.6562874251497006,0.6506986027944112,0.6293745841650032,0.7764471057884231,0.6205588822355289,0.6570858283433134,0.6692614770459082,0.6329341317365269,,0.6980039920159681,0.6966067864271457,0.56187624750499,0.6522954091816368,,0.44590818363273454,0.6109780439121757,,0.6562874251497006,0.6506986027944112,0.6293745841650032,0.7764471057884231
17,distilbert-base-multilingual-cased,xnli,before_fastalign,24544,24544,392704,392704,0.5359796285629272,0,0.5359796285629272,0.611377245508982,0.6510978043912176,0.6734530938123753,0.6255489021956088,,0.6980039920159681,0.6884231536926148,0.5682634730538922,0.6455089820359281,,0.4666666666666667,0.6071856287425149,,0.6506986027944112,0.6471057884231537,0.6277777777777778,0.7762475049900199,0.611377245508982,0.6510978043912176,0.6734530938123753,0.6255489021956088,,0.6980039920159681,0.6884231536926148,0.5682634730538922,0.6455089820359281,,0.4666666666666667,0.6071856287425149,,0.6506986027944112,0.6471057884231537,0.6277777777777778,0.7762475049900199
31,distilbert-base-multilingual-cased,xnli,before_awesome,24544,24544,392704,392704,0.6374925971031189,0,0.6374925971031189,0.6217564870259481,0.6634730538922156,0.6736526946107785,0.6439121756487026,,0.707185628742515,0.7049900199600798,0.569061876247505,0.6558882235528942,,0.5121756487025948,0.6259481037924152,,0.6678642714570858,0.6522954091816368,0.6415169660678642,0.7806387225548902,0.6217564870259481,0.6634730538922156,0.6736526946107785,0.6439121756487026,,0.707185628742515,0.7049900199600798,0.569061876247505,0.6558882235528942,,0.5121756487025948,0.6259481037924152,,0.6678642714570858,0.6522954091816368,0.6415169660678642,0.7806387225548902
42,distilbert-base-multilingual-cased,xnli,before_awesome,24544,24544,392704,392704,0.18666808307170868,0,0.18666808307170868,0.6237524950099801,0.6522954091816368,0.6706586826347305,0.6405189620758484,,0.7085828343313373,0.7013972055888223,0.5650698602794412,0.6407185628742516,,0.48283433133732534,0.6207584830339321,,0.665868263473054,0.6441117764471058,0.6347139055222888,0.783433133732535,0.6237524950099801,0.6522954091816368,0.6706586826347305,0.6405189620758484,,0.7085828343313373,0.7013972055888223,0.5650698602794412,0.6407185628742516,,0.48283433133732534,0.6207584830339321,,0.665868263473054,0.6441117764471058,0.6347139055222888,0.783433133732535
66,distilbert-base-multilingual-cased,xnli,before_awesome,24544,24544,392704,392704,0.7664082050323486,0,0.7664082050323486,0.6171656686626746,0.6558882235528942,0.6780439121756487,0.641317365269461,,0.700998003992016,0.6978043912175649,0.5780439121756487,0.6508982035928144,,0.4614770459081836,0.6211576846307385,,0.6636726546906188,0.6475049900199601,0.6344976713240187,0.7812375249500998,0.6171656686626746,0.6558882235528942,0.6780439121756487,0.641317365269461,,0.700998003992016,0.6978043912175649,0.5780439121756487,0.6508982035928144,,0.4614770459081836,0.6211576846307385,,0.6636726546906188,0.6475049900199601,0.6344976713240187,0.7812375249500998
23,distilbert-base-multilingual-cased,xnli,before_awesome,24544,24544,392704,392704,0.56502765417099,0,0.56502765417099,0.626746506986028,0.6584830339321357,0.677245508982036,0.6508982035928144,,0.7037924151696606,0.6954091816367265,0.580439121756487,0.6502994011976048,,0.49860279441117766,0.624750499001996,,0.6668662674650698,0.65249500998004,0.6405023286759813,0.781437125748503,0.626746506986028,0.6584830339321357,0.677245508982036,0.6508982035928144,,0.7037924151696606,0.6954091816367265,0.580439121756487,0.6502994011976048,,0.49860279441117766,0.624750499001996,,0.6668662674650698,0.65249500998004,0.6405023286759813,0.781437125748503
17,distilbert-base-multilingual-cased,xnli,before_awesome,24544,24544,392704,392704,0.6194751858711243,0,0.6194751858711243,0.6193612774451098,0.6584830339321357,0.6608782435129741,0.6453093812375249,,0.706187624750499,0.6996007984031936,0.5778443113772455,0.6506986027944112,,0.5011976047904192,0.6217564870259481,,0.6736526946107785,0.650499001996008,0.6387890884896873,0.7826347305389222,0.6193612774451098,0.6584830339321357,0.6608782435129741,0.6453093812375249,,0.706187624750499,0.6996007984031936,0.5778443113772455,0.6506986027944112,,0.5011976047904192,0.6217564870259481,,0.6736526946107785,0.650499001996008,0.6387890884896873,0.7826347305389222
31,distilbert-base-multilingual-cased,xnli,before_dico,24544,24544,392704,392704,0.5686325430870056,0,0.5686325430870056,0.5930139720558882,0.6469061876247505,0.6610778443113773,0.6367265469061876,,0.6988023952095809,0.6850299401197605,0.5594810379241517,0.6361277445109781,,0.5067864271457085,0.6147704590818364,,0.6528942115768464,0.6411177644710578,0.6277278775781769,0.7812375249500998,0.5930139720558882,0.6469061876247505,0.6610778443113773,0.6367265469061876,,0.6988023952095809,0.6850299401197605,0.5594810379241517,0.6361277445109781,,0.5067864271457085,0.6147704590818364,,0.6528942115768464,0.6411177644710578,0.6277278775781769,0.7812375249500998
42,distilbert-base-multilingual-cased,xnli,before_dico,24544,24544,392704,392704,0.21833012998104095,0,0.21833012998104095,0.601996007984032,0.6622754491017964,0.6742514970059881,0.643313373253493,,0.6974051896207585,0.687624750499002,0.5616766467065868,0.6435129740518962,,0.4996007984031936,0.6131736526946108,,0.6530938123752495,0.6447105788423154,0.6318862275449102,0.7774451097804391,0.601996007984032,0.6622754491017964,0.6742514970059881,0.643313373253493,,0.6974051896207585,0.687624750499002,0.5616766467065868,0.6435129740518962,,0.4996007984031936,0.6131736526946108,,0.6530938123752495,0.6447105788423154,0.6318862275449102,0.7774451097804391
66,distilbert-base-multilingual-cased,xnli,before_dico,24544,24544,392704,392704,0.6949328184127808,0,0.6949328184127808,0.6105788423153693,0.6588822355289421,0.665868263473054,0.6411177644710578,,0.7067864271457086,0.6950099800399202,0.5626746506986028,0.6375249500998004,,0.4728542914171657,0.6205588822355289,,0.6630738522954092,0.6425149700598802,0.63145375914837,0.7744510978043913,0.6105788423153693,0.6588822355289421,0.665868263473054,0.6411177644710578,,0.7067864271457086,0.6950099800399202,0.5626746506986028,0.6375249500998004,,0.4728542914171657,0.6205588822355289,,0.6630738522954092,0.6425149700598802,0.63145375914837,0.7744510978043913
23,distilbert-base-multilingual-cased,xnli,before_dico,24544,24544,392704,392704,0.5084556937217712,0,0.5084556937217712,0.6033932135728542,0.6604790419161677,0.6742514970059881,0.6345309381237525,,0.7027944111776447,0.6898203592814371,0.5728542914171657,0.6415169660678642,,0.5121756487025948,0.615369261477046,,0.650499001996008,0.6421157684630738,0.6333166999334664,0.7782435129740519,0.6033932135728542,0.6604790419161677,0.6742514970059881,0.6345309381237525,,0.7027944111776447,0.6898203592814371,0.5728542914171657,0.6415169660678642,,0.5121756487025948,0.615369261477046,,0.650499001996008,0.6421157684630738,0.6333166999334664,0.7782435129740519
17,distilbert-base-multilingual-cased,xnli,before_dico,24544,24544,392704,392704,0.6104302406311035,0,0.6104302406311035,0.5986027944111777,0.6596806387225549,0.6708582834331337,0.6389221556886228,,0.694810379241517,0.6936127744510978,0.5740518962075848,0.6357285429141717,,0.5053892215568863,0.615568862275449,,0.6570858283433134,0.6431137724550898,0.6322854291417166,0.7800399201596806,0.5986027944111777,0.6596806387225549,0.6708582834331337,0.6389221556886228,,0.694810379241517,0.6936127744510978,0.5740518962075848,0.6357285429141717,,0.5053892215568863,0.615568862275449,,0.6570858283433134,0.6431137724550898,0.6322854291417166,0.7800399201596806
31,distilbert-base-multilingual-cased,xnli,freeze_realign_unfreeze_fastalign,24544,24544,392704,392704,0.5393502712249756,0,0.5393502712249756,0.6071856287425149,0.655688622754491,0.6726546906187625,0.6323353293413174,,0.6990019960079841,0.6958083832335329,0.5526946107784431,0.640119760479042,,0.4722554890219561,0.6043912175648702,,0.6530938123752495,0.6548902195608782,0.6283433133732536,0.7748502994011977,0.6071856287425149,0.655688622754491,0.6726546906187625,0.6323353293413174,,0.6990019960079841,0.6958083832335329,0.5526946107784431,0.640119760479042,,0.4722554890219561,0.6043912175648702,,0.6530938123752495,0.6548902195608782,0.6283433133732536,0.7748502994011977
42,distilbert-base-multilingual-cased,xnli,freeze_realign_unfreeze_fastalign,24544,24544,392704,392704,0.16813606023788452,0,0.16813606023788452,0.6001996007984032,0.6502994011976048,0.6746506986027944,0.6281437125748504,,0.6904191616766467,0.6894211576846307,0.550499001996008,0.6453093812375249,,0.4429141716566866,0.5976047904191617,,0.6560878243512974,0.6520958083832336,0.6231370592149036,0.774251497005988,0.6001996007984032,0.6502994011976048,0.6746506986027944,0.6281437125748504,,0.6904191616766467,0.6894211576846307,0.550499001996008,0.6453093812375249,,0.4429141716566866,0.5976047904191617,,0.6560878243512974,0.6520958083832336,0.6231370592149036,0.774251497005988
